date,keyword,url,current_rank,previous_rank,rank_diff,rank_change_rate,current_distance,previous_distance,distance_diff,distance_change_rate,weeks_elapsed
2025-11-05,鹿沼市 仕事,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,5.0,5.0,0.0,0.0,2101,2101,0,0.0,0
2025-11-06,鹿沼市 仕事,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,5.0,5.0,0.0,0.0,2077,2101,-24,-1.14,0
2025-11-07,鹿沼市 仕事,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,5.0,5.0,0.0,0.0,2077,2077,0,0.0,0
2025-11-08,鹿沼市 仕事,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,5.0,5.0,0.0,0.0,1364,2077,-713,-34.33,0
2025-11-02,鹿沼市 正社員,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,8.0,8.0,0.0,0.0,3458,2239,1219,54.44,0
2025-11-03,鹿沼市 正社員,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,8.0,8.0,0.0,0.0,2219,3458,-1239,-35.83,0
2025-11-04,鹿沼市 正社員,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,8.0,8.0,0.0,0.0,2265,2219,46,2.07,0
2025-11-05,鹿沼市 正社員,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,8.0,8.0,0.0,0.0,2239,2265,-26,-1.15,0
2025-11-06,鹿沼市 正社員,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,8.0,8.0,0.0,0.0,2239,2239,0,0.0,0
2025-11-07,鹿沼市 正社員,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,8.0,8.0,0.0,0.0,2213,2239,-26,-1.16,0
2025-11-08,鹿沼市 正社員,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,8.0,8.0,0.0,0.0,2239,2213,26,1.17,0
2025-11-02,鹿沼市 正社員求人,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,7.0,7.0,0.0,0.0,2044,2044,0,0.0,0
2025-11-03,鹿沼市 正社員求人,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,7.0,7.0,0.0,0.0,2070,2044,26,1.27,0
2025-11-04,鹿沼市 正社員求人,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,7.0,7.0,0.0,0.0,2090,2070,20,0.97,0
2025-11-05,鹿沼市 正社員求人,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,7.0,7.0,0.0,0.0,2090,2090,0,0.0,0
2025-11-06,鹿沼市 正社員求人,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,7.0,7.0,0.0,0.0,3322,2090,1232,58.95,0
2025-11-07,鹿沼市 正社員求人,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,7.0,7.0,0.0,0.0,2994,3322,-328,-9.87,0
2025-11-08,鹿沼市 正社員求人,https://jp.stanby.com/r_5b1849460cf9b5f9afd2b04ef8ae700a,8.0,7.0,1.0,14.29,2239,2994,-755,-25.22,0
2025-11-02,鹿沼市 求人,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,7.0,7.0,0.0,0.0,2623,3139,-516,-16.44,0
2025-11-03,鹿沼市 求人,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,6.0,7.0,-1.0,-14.29,2448,2623,-175,-6.67,0
2025-11-04,鹿沼市 求人,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,4.0,6.0,-2.0,-33.33,2110,2448,-338,-13.81,0
2025-11-05,鹿沼市 求人,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,6.0,4.0,2.0,50.0,2442,2110,332,15.73,0
2025-11-07,鹿沼市 求人,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,9.0,6.0,3.0,50.0,3019,2442,577,23.63,0
2025-11-08,鹿沼市 求人,https://jp.stanby.com/r_ea02467de59357abfe20be74cc6a7574,23.0,19.0,4.0,21.05,7725,5537,2188,39.52,0
2025-11-02,鹿沼市 求人募集,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,9.0,7.0,2.0,28.57,3043,2479,564,22.75,0
2025-11-03,鹿沼市 求人募集,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,6.0,9.0,-3.0,-33.33,2900,3043,-143,-4.7,0
2025-11-04,鹿沼市 求人募集,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,7.0,6.0,1.0,16.67,2483,2900,-417,-14.38,0
2025-11-05,鹿沼市 求人募集,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,7.0,7.0,0.0,0.0,2439,2483,-44,-1.77,0
2025-11-06,鹿沼市 求人募集,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,6.0,7.0,-1.0,-14.29,2302,2439,-137,-5.62,0
2025-11-07,鹿沼市 求人募集,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,9.0,6.0,3.0,50.0,4598,2302,2296,99.74,0
2025-11-08,鹿沼市 求人募集,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,8.0,9.0,-1.0,-11.11,2666,4598,-1932,-42.02,0
2025-11-03,鹿沼市 求人情報,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,9.0,10.0,-1.0,-10.0,4240,3945,295,7.48,0
2025-11-04,鹿沼市 求人情報,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,9.0,9.0,0.0,0.0,2951,4240,-1289,-30.4,0
2025-11-05,鹿沼市 求人情報,https://jp.stanby.com/r_1dc135eba68b00f762abfd39432a377e,9.0,9.0,0.0,0.0,3025,2951,74,2.51,0
